t1,ID1,Y1,v1,a1,ID2,Y2,v2,a2,ID3,Y3,v3,a3,ID4,Y4,v4,a4,ID5,Y5,v5,a5,ID6,Y6,v6,a6,a4_IDM,a4_PERL,v4_PERL,Y4_PERL,a5_mpc_base2,v5_mpc_base2,Y5_mpc_base2,a5_mpc_base3,v5_mpc_base3,Y5_mpc_base3
0.0,350,96.9701,9.8778,-0.4096,355,81.9349,9.0098,0.2727,361,68.583,9.0913,-0.725,364,48.3004,9.0106,0.5864,372,32.6325,10.2897,-0.5379,379,0.0,10.4376,0.9842,0.5864,0.5864,9.06924,49.207324,-0.5379,10.2897,33.66147,-0.5379,10.2897,33.66147
0.1,350,97.9559,9.838,-0.3905,355,82.8373,9.0394,0.3111,361,69.4884,9.0174,-0.6518,364,49.2041,9.0639,0.5551,372,33.6587,10.236,-0.4898,379,1.0487,10.5357,0.9446,0.2164199946294483,0.5551,9.12475,50.119799,-0.5205553548841112,10.23591,34.685061,-0.4041029838861335,10.23591,34.685061
0.2,350,98.9378,9.7996,-0.3715,355,83.7429,9.0717,0.3235,361,70.3869,8.9528,-0.5533,364,50.1134,9.122,0.5802,372,34.68,10.1883,-0.4234,379,2.107,10.6306,0.9159,0.1486024362654067,0.5802,9.18277,51.038076000000004,-0.4412368074092779,10.18385446451159,35.70344644645116,-0.3643276109934745,10.195499701611388,35.70461097016114
0.3,350,99.9159,9.7629,-0.354,355,84.6516,9.1033,0.299,361,71.2795,8.8984,-0.4619,364,51.0285,9.1806,0.5653,372,35.6967,10.1469,-0.3847,379,3.1747,10.7236,0.8972,0.0768331507505833,0.5653,9.2393,51.962006,-0.4031613685795598,10.139730783770665,36.71741952482822,-0.33508894506113096,10.15906694051204,36.720517664212345
0.4,350,100.8904,9.7273,-0.3516,355,85.5633,9.1304,0.1987,361,72.167,8.8521,-0.4115,364,51.9494,9.2359,0.5138,372,36.7095,10.1089,-0.3729,379,4.2516,10.8137,0.86,0.0046928612683104,0.5138,9.29068,52.891074,-0.3404088345041004,10.099414646912706,37.7273609895195,-0.29849577651083553,10.125558046005928,37.73307346881293
0.5,350,101.8613,9.6913,-0.3609,355,86.4773,9.1498,0.1241,361,73.0502,8.8105,-0.3817,364,52.8754,9.2853,0.4168,372,37.7185,10.0704,-0.3925,379,5.3372,10.899,0.8046,-0.0654661905139096,0.4168,9.33236,53.824310000000004,-0.3200832645085282,10.065373763462295,38.73389836586573,-0.27687759115342525,10.095708468354845,38.74264431564842
0.6,350,102.8286,9.6544,-0.3674,355,87.3931,9.166,0.0537,361,73.9293,8.7717,-0.3575,364,53.8061,9.3288,0.3672,372,38.7235,10.0307,-0.3983,379,6.4311,10.9784,0.7379,-0.1324592230948686,0.3672,9.36908,54.761218,-0.3064759583017193,10.033365437011442,39.73723490956687,-0.25938587263007157,10.068020709239502,39.74944638657237
0.7,350,103.7922,9.6177,-0.3567,355,88.3099,9.1696,0.0055,361,74.8047,8.7362,-0.3202,364,54.7409,9.3665,0.3111,372,39.7247,9.992,-0.3716,379,7.5326,11.0517,0.6801,-0.1967095921494304,0.3111,9.40019,55.701237000000006,-0.2983250871965943,10.002717841181273,40.737506693685,-0.2458623463104841,10.042082121976494,40.75365459877002
0.8,350,104.7522,9.5826,-0.3352,355,89.2268,9.1686,-0.0332,361,75.6767,8.705,-0.2684,364,55.6791,9.3969,0.2368,372,40.7221,9.9566,-0.3348,379,8.6411,11.1193,0.6298,-0.2576062113682435,0.2368,9.42387,56.643624,-0.2960758755074497,9.972885332461612,41.73479522693116,-0.23634100382785303,10.017495887345445,41.75540418750457
0.9,350,105.7088,9.5493,-0.3354,355,90.1434,9.1646,-0.0673,361,76.5459,8.6783,-0.2295,364,56.6198,9.4185,0.0657,372,41.7161,9.9237,-0.3206,379,9.7562,11.1825,0.5921,-0.312832003333653,0.0657,9.43044,57.586668,-0.2945157442574722,9.943277744910867,42.729123001422245,-0.2291290665961887,9.99386178696266,42.75479036620083
