Time,Speed1,E1,N1,Speed2,E2,N2,IVS1,A1,A2
1.0,0.02,454.5593949847124,-116.67373173858722,0.015454545,455.8302934987315,-126.55945608290637,5.12208226337074,,
1.1,0.016666667,454.5588725689997,-116.67286539971032,0.014444444,455.8302242380275,-126.5594568284955,5.12300005748738,-0.03333332999999998,-0.010101009999999985
1.2000000000000002,0.019090909,454.5582125368375,-116.67231267876171,0.012727273,455.83017835893327,-126.56057160240591,5.124732272915344,0.02424241999999998,-0.017171709999999986
1.3000000000000005,0.0166666669999999,454.557755679301,-116.67150269007452,0.0166666669999999,455.8297537033937,-126.56057256358235,5.125540704315673,-0.02424242000000093,0.03939393999999886
1.4000000000000004,0.015454545,454.5563244026715,-116.67099559645212,0.012727273,455.82946635946814,-126.5614851195,5.127094737199188,-0.012121219999999005,-0.03939393999999904
1.5000000000000004,0.0166666669999999,454.55565035580815,-116.67038694371506,0.0144444439999999,455.8292808990194,-126.56168885419464,5.12796286190104,0.012121219999998979,0.01717170999999898
1.6000000000000003,0.009090909,454.5546031015768,-116.66977864703236,0.012727273,455.8291310317995,-126.56250025890846,5.129485567436472,-0.0757575799999991,-0.017171709999999018
1.7000000000000006,0.018888889,454.5542036679895,-116.6692716927397,0.015555556,455.8286790531076,-126.56280441815564,5.13028331909165,0.09797979999999969,0.028282829999999905
1.8000000000000007,0.021818182,454.5540177246017,-116.66876389490668,0.0154545449999999,455.8282103471497,-126.56280456250543,5.13075097781885,0.02929292999999997,-0.0010101100000010034
1.9000000000000008,0.0233333329999999,454.553552758858,-116.66815560953351,0.011111111,455.8276874403334,-126.5628046121829,5.131346930222917,0.015151509999999008,-0.043434339999998954
2.000000000000001,0.0199999999999999,454.55321014962175,-116.66805443539944,0.0154545449999999,455.82729083527335,-126.5628047508689,5.131440517490879,-0.03333332999999998,0.043434339999998954
2.100000000000001,0.017777778,454.55289148010513,-116.66704192576314,0.012222222,455.8270925325671,-126.56280476782412,5.132460125122517,-0.022222219999998967,-0.03232322999999897
2.200000000000001,0.0245454549999999,454.5526723092142,-116.6670412900282,0.0181818179999999,455.8266958275072,-126.56280480813642,5.1324381246632695,0.06767676999999893,0.059595959999998935
2.3000000000000007,0.014444444,454.552301840296,-116.66605074970796,0.0144444439999999,455.82603704171913,-126.56206188957012,5.1326469091474864,-0.10101010999999935,-0.037373740000000114
2.400000000000001,0.0199999999999998,454.551810606673,-116.665926721013,0.01,455.8256719215008,-126.5616903547707,5.132417528830628,0.055555559999997936,-0.04444443999999896
2.5000000000000013,0.012222222,454.55198001849647,-116.66592504417792,0.011111111,455.8253806252479,-126.56131841167186,5.1319914805375,-0.07777777999999758,0.011111109999999938
2.6000000000000014,0.014545455,454.55219628790667,-116.66541870157944,0.0118181820000001,455.8248095699112,-126.5605760384188,5.131656919346272,0.02323232999999999,0.007070710000001001
2.700000000000001,0.018888889,454.55218446826586,-116.6648097026192,0.0222222219999999,455.82458952104326,-126.56032799408877,5.131988366994423,0.04343434000000014,0.10404039999999835
2.8000000000000016,0.0236363639999998,454.55177106117935,-116.66420198159628,0.015454545,455.8238427703226,-126.55905570581707,5.131286716856564,0.04747474999999775,-0.06767676999999864
2.9000000000000017,0.017777778,454.55152792947433,-116.6636950115417,0.0155555559999999,455.8229451311534,-126.55785122002152,5.130511454483185,-0.05858585999999793,0.001010109999998991
3.0000000000000018,0.0218181819999999,454.55123449443545,-116.66288472185398,0.014545455,455.8221728153173,-126.55682681420237,5.1302380594263735,0.04040403999999897,-0.010101009999998979
3.100000000000002,0.0211111109999999,454.5508698098722,-116.66258059057432,0.0155555559999998,455.8214951403312,-126.55611788100155,5.129796682012025,-0.007070709999999995,0.01010100999999799
3.200000000000002,0.0172727269999999,454.55031675159415,-116.66177070999989,0.008181818,455.8208273769612,-126.55480039849088,5.129278603815692,-0.03838383999999997,-0.07373737999999794
3.3000000000000016,0.015555556,454.5501440106664,-116.66146664410576,0.008888889,455.8201127598592,-126.55327031806208,5.127993560011063,-0.017171709999999073,0.007070710000000026
3.4000000000000017,0.0163636360000001,454.5503751918746,-116.66045329206044,0.0118181819999999,455.81942779303847,-126.55206525891823,5.127686789797665,0.008080800000001009,0.029292929999998964
3.5000000000000018,0.0222222219999998,454.55001083028185,-116.66010548783592,0.007777778,455.8187966278074,-126.55116528262538,5.127105157092107,0.05858585999999692,-0.04040403999999896
3.6000000000000023,0.0163636360000001,454.5496672810152,-116.65923946621298,0.010909091,455.8182427316669,-126.55024169026788,5.1270212931108015,-0.05858585999999666,0.03131312999999983
3.7000000000000015,0.0222222219999999,454.54954707973,-116.659239575991,0.013333333,455.8175472854655,-126.5490601566997,5.125776080143097,0.05858585999999844,0.024242420000000195
3.8000000000000025,0.0190909089999999,454.5496131734444,-116.65913827053755,0.0145454549999999,455.8171625328607,-126.54831766220973,5.125082768925743,-0.031313129999999696,0.012121219999998888
3.9000000000000026,0.017777778,454.5494808151459,-116.65824954445326,0.0122222219999999,455.81688443312936,-126.54807054634573,5.125700646411464,-0.013131309999998968,-0.02323232999999997
4.000000000000003,0.0209090909999998,454.5489640017397,-116.658125887366,0.009090909,455.81629242512537,-126.54720515591004,5.124955371628744,0.03131312999999796,-0.03131312999999898
4.100000000000003,0.014444444,454.5495492538511,-116.6577539628148,0.0111111109999999,455.8157549010433,-126.54671078973664,5.1246912623062375,-0.06464646999999765,0.02020201999999889
4.200000000000003,0.016363636,454.5491801318936,-116.65701202185188,0.01,455.815424257596,-126.546092095589,5.124818398078316,0.01919192000000007,-0.01111110999999903
