Time,Speed1,E1,N1,Speed2,E2,N2,IVS1,A1,A2
1.0,0.019090909,465.6557683101706,-191.96137634155724,0.007272727,466.9342966655692,-199.61180469669569,3.367525560627292,,
1.1,0.027777778,465.65598548279615,-191.9607572812272,0.012222222,466.9343576654993,-199.6118058748188,3.368111577063285,0.08686868999999992,0.049494949999999954
1.2,0.029090909,465.6563113855101,-191.9602618958092,0.008181818,466.9343989567649,-199.61180603561127,3.3685534521611413,0.013131310000000038,-0.040404040000000044
1.3,0.023333333,465.6563173771949,-191.9601380895484,0.013333333,466.9344230578324,-199.6118060329553,3.368678547544949,-0.057575759999999955,0.05151514999999994
1.4,0.025454545,465.65647416648034,-191.96016043922717,0.007272727,466.9347183395956,-199.6118072158225,3.368680488386002,0.02121212,-0.06060606000000008
1.5,0.026666667,465.6571775363108,-191.96026154174115,0.011111111,466.9346149719108,-199.6118074982984,3.3684481582013057,0.01212122000000002,0.03838383999999997
1.6,0.031818182,465.6575036660506,-191.96026103070383,0.012727273,466.9347135467655,-199.61120077307115,3.367812748850547,0.05151514999999994,0.016161619999999995
1.7,0.022222222,465.65803768686544,-191.9602611841848,0.007777778,466.93467450424,-199.6106951286689,3.367219510972584,-0.09595960000000013,-0.04949495000000007
1.8,0.020909091,465.65858321789017,-191.96066637471887,0.012727273,466.9347646084192,-199.6106951211249,3.366744887654056,-0.013131309999999974,0.04949494999999996
1.9,0.026666667,465.6590941898989,-191.9613750508072,0.01,466.9347454315146,-199.60995143852423,3.3652250966153656,0.05757576000000008,-0.02727273000000004
2.0,0.026363636,465.6597709958057,-191.9613754178345,0.012727273,466.9348829624479,-199.60897140529664,3.364169346462212,-0.0030303100000000196,0.02727272999999998
2.1,0.024444444,465.6603504234312,-191.96248856428392,0.01,466.93488939163393,-199.60809233649923,3.362110025227414,-0.019191919999999984,-0.02727272999999998
2.2,0.022727273,465.660365631216,-191.96269174664144,0.0172727269999999,466.9348931185809,-199.6073489046212,3.361174409592288,-0.017171709999999986,0.07272726999999894
2.3,0.015555556,465.6602845961573,-191.9636023213092,0.014444444,466.9348983127948,-199.60635761643823,3.3593126310096912,-0.07171717000000025,-0.028282829999999103
2.4,0.0172727269999999,465.6602031795113,-191.96471698577585,0.01,466.9348508738664,-199.605118481802,3.356996499173168,0.017171709999998997,-0.04444443999999997
2.5,0.018888889,465.6602806844202,-191.9658309041658,0.0066666669999999,466.9349121572802,-199.6038792098333,3.354672727544428,0.016161620000000966,-0.03333333000000097
2.6,0.019090909,465.66069092099457,-191.96674178145452,0.015454545,466.9348103678079,-199.60278644663583,3.3526121378813056,0.002020200000000005,0.08787878000000092
2.7,0.023333333,465.6610722149549,-191.96768759266948,0.012222222,466.93446178384073,-199.6017725992947,3.350559088380096,0.04242423999999998,-0.032323229999999974
2.8,0.014545455,465.6608500843381,-191.96886886809585,0.008181818,466.9343336723382,-199.6007590782972,3.348409684737668,-0.08787878000000032,-0.040404040000000134
2.9,0.022222222,465.6602188029465,-191.96979025125543,0.008888889,466.9343392081499,-199.60003772705247,3.3468942177916685,0.07676766999999993,0.007070709999999995
