Car Index,RMSE Headway Error,Dampening Ratio,Average Velocity,Sum Accelerations2
1,0.44095754586181224,0.9278082414181557,5.00478852391442,177.03527401930157
2,0.14916960228756754,0.8398088065568757,5.16198190267337,145.04548172079805
3,0.15205726787783477,0.7683548029260179,5.325280343521513,121.41349935750264
4,0.320060340486024,0.7443657188915282,5.485270507335819,113.95046020230714
5,0.3112688007682001,0.7243911287854763,5.6432172400540255,107.9169349303771
6,0.3074240212636232,0.7092331467004211,5.793942185795278,103.44783473529849
7,0.13386661661594215,0.6703516839914986,5.926016277052939,92.41634003376566
8,0.13541146370616447,0.6386185620857249,6.047641130909744,83.87382148157478
9,0.2175620476321655,0.6329327893690219,6.177846946949507,82.38697285942867
10,0.2074811305419287,0.6274278325570959,6.315515084592364,80.96007759142196
11,0.1233689193849301,0.5990464401489812,6.461414302842971,73.80135560355134
12,0.17255165707031198,0.5925012653344788,6.618084528477457,72.1974602066069
13,0.1187588705709726,0.555829530558796,6.817032291551659,63.53698300875892
14,0.14585332681559576,0.5408901148051343,7.01811327114853,60.16742767766693
15,0.11455129668378389,0.49358412171589844,7.292272483792199,50.103229064699015
16,0.1319504547805229,0.47224412904423263,7.551475598414645,45.86448176448707
17,0.1236752604830588,0.44850692894973754,7.8461569974023355,41.36963311233152
18,0.11869516607081396,0.43104812702800416,8.166141529895853,38.211569869387
19,0.10471267599316476,0.414272091582516,8.544926527942525,35.29512381637331
20,0.10312814031815436,0.40329714471756345,8.907842797457397,33.44980961785157
21,0.12201181497628157,0.39869397005169965,9.222237547352579,32.69058485100822
22,0.11608752989247208,0.38812124904159256,9.52923126764837,30.97977051910856
23,0.11313581543326448,0.37038834809838134,9.813324095056128,28.21356639838028
24,0.09809057770765882,0.3354992204956631,10.081273294520383,23.148688274016955
25,0.09805017967314326,0.29790694123289785,10.30111669935907,18.251753742483935
26,0.10644114342543164,0.2668282164465107,10.477355279192764,14.642217789149171
27,0.10037724235456613,0.22821227494550345,10.626209782959155,10.710786346308987
28,0.0979789242153771,0.18110922483661013,10.744235603539083,6.74566079979507
29,0.09664607559325206,0.14804133637465727,10.832172210236049,4.507226150638009
30,0.09327370627068912,0.11364438984109483,10.900166022745395,2.656069031658645
